AthleteID,FullName,Gender],CountryID
5803,DYCHKO  Ivan,Men,KAZ
5804,DYDAK  Jan,Men,POL
5805,DYER  Hector Monroe,Men,USA
5806,DYLDIN  Maksim,Men,RUS
5807,DYLEWSKA  Izabela,Women,POL
5808,DYLEWSKA-SWIATOWIAK  Izabella,Women,POL
5809,DYRDYRA  Vitali,Men,URS
5810,DYROEN-LANCER  Becky,Women,USA
5811,DYRSCH  Gustaf,Men,SWE
5812,DYRSSEN  Gustaf,Men,SWE
5813,DZARASOV  Savkus,Men,URS
5814,DZENELADZE  Roman,Men,URS
5815,DZHORDZHIKIYA  Nodar,Men,URS
5816,DZHUMANAZAROV  Setymkul,Men,URS
5817,DZHYMA  Juliya,Women,UKR
5818,DZIECIOL  Iwona,Women,POL
5819,DZIEDZIC  Stanley Joseph  Jr.,Men,USA
5820,DZIOUBA  Irina,Women,RUS
5821,DZODZUASHVILI  Revaz,Men,URS
5822,DZOMBA  Mirza,Men,CRO
5823,DZUGELI  Medeya,Women,URS
5824,DZUMADILOV  Bulat,Men,KAZ
5826,EADIE  Sean,Men,AUS
5827,EAGAN  Dennis Michael Royal,Men,GBR
5828,EAGAN  Edward,Men,USA
5829,EAGAN  James Jack,Men,USA
5830,EARL  Athol,Men,NZL
5831,EARL  Sebastian,Men,GBR
5832,EASTCOTT  William Merrill,Men,CAN
5833,EASTE  Peter,Men,GBR
5834,EASTER  Paul Robert,Men,GBR
5835,EASTLAKE-SMITH  Gwendoline,Women,GBR
5836,EASTMAN  Albert,Men,USA
5837,EASTMAN  Benjamin Bangs,Men,USA
5838,EASTWOOD  Earl,Men,CAN
5839,EATON  Ashton,Men,USA
5840,EAVES  Wilberforce Vaughan,Men,GBR
5841,EBATA  Yukiko,Women,JPN
5842,EBBAGE  Ernest Walter,Men,GBR
5843,EBBESEN  Eskild,Men,DEN
5844,EBBESEN  Eskild Balschmidt,Men,DEN
5845,EBERHARD  Paul Hans,Men,SUI
5846,EBERHART  Henri,Men,FRA
5847,EBERHARTER  Stephan,Men,AUT
5850,EBERLE  Wolrad,Men,GER
5853,EBERT  Thomas,Men,DEN
5854,EBINUMA  Masashi,Men,JPN
5855,EBNOETHER  Luzia,Women,SUI
5856,EBNOUTALIB  Faissal,Men,GER
5857,EBRAHIM  Karam Mohamed Gaber,Men,EGY
5858,EBY  Earl,Men,USA
5859,ECHAVARRI  Fernando,Men,ESP
5860,ECHEGOYEN DOMINGUEZ  Tamara,Women,ESP
5861,ECHEVERRIA  Ricardo,Men,CHI
5862,ECHOLS  Sheila,Women,USA
5864,ECKBRETT  Torsten,Men,GER
5865,ECKERSLEY  Neil,Men,GBR
